categoria,nombre,sexo,UltimaFormacionAcademica,NodoHijo,nodo_padre,Titulo_proyecto,año
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Consultoría Científico Tecnológica e Informe Técnico,Divulgación Pública de la Ciencia,Consolidación de capacidades de gestión de innovación en agrícolas unidas,2012
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Consultoría Científico Tecnológica e Informe Técnico,Divulgación Pública de la Ciencia,Documentación del Programa de Aprovechamiento de Residuos Sólidos en la Industria de Alimentos Vitarrico,2023
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Consultoría Científico Tecnológica e Informe Técnico,Divulgación Pública de la Ciencia,"Diseñar y definir un método de trabajo y la unidad estándar de producción de los folletos de escuela sabática, en la Litografía ICOLVEN",2023
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Evento científico,Divulgación Pública de la Ciencia,IV CONGRESO INTERNACIONAL DE GESTION TECNOLOGICA E INNOVACION 2014,2014
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Evento científico,Divulgación Pública de la Ciencia,REUNION NACIONAL ACOFI 2012,2012
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Evento científico,Divulgación Pública de la Ciencia,Catedra Lasallista Hermano Suarez Alzate,2017
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Evento científico,Divulgación Pública de la Ciencia,Jornada de actualización docente,2014
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Evento científico,Divulgación Pública de la Ciencia,CONGRESO INTERNACIONAL DE GESTION TECNOLOGICA COGESTEC 2012,2012
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Evento científico,Divulgación Pública de la Ciencia,SEGUNDA CONFERENCIA INTERNACIONAL PILA RED DE PROPEIDAD INTELECTUAL,2013
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Evento científico,Divulgación Pública de la Ciencia,"Seminario de autores ""como escribir un trabajo de Investigación y como conseguir que sea aceptado en una revista científica""",2012
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Evento científico,Divulgación Pública de la Ciencia,XIV ENCUENTRO INTERNACIONAL RED MOTIVA,2013
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Evento científico,Divulgación Pública de la Ciencia,"Bionnovo, Feria de Biotecnologia",2016
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Evento científico,Divulgación Pública de la Ciencia,"III Seminario Internacional de investigación 2016: Ciencia, Innovación y competitividad, una estrategia de desarrollo agroindustrial sostenible en territorio de paz",2016
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Evento científico,Divulgación Pública de la Ciencia,Agro transformacion de frutas pequeñas,2016
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Evento científico,Divulgación Pública de la Ciencia,ELAN NETWORK,2016
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Evento científico,Divulgación Pública de la Ciencia,II Congreso Iberoamericano de Bioetica e Investigacion,2016
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Evento científico,Divulgación Pública de la Ciencia,"Buenas practicas y metodologías en procesos de autoevaluacion y acreditacion de postgrados, investigacion e internacionalizacion",2016
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Evento científico,Divulgación Pública de la Ciencia,Agrofuturo 2016,2016
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Evento científico,Divulgación Pública de la Ciencia,Diseño y elaboracion del plan y acuerdo estratégico departamental en CTI,2016
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Evento científico,Divulgación Pública de la Ciencia,TTS Latinoamerica. Transfer Technology Summit,2016
